("Germany", -1088.0, -1216.0, -832.0, -960.0)
("Poland", 2624.0, -192.0, 2880.0, 64.0)
("Czech Republic", 1088.0, -2112.0, 1344.0, -1856.0)
("Austria", 704.0, -3520.0, 960.0, -3264.0)
("Slovenia", 1088.0, -4672.0, 1344.0, -4416.0)
("Croatia", 1984.0, -5184.0, 2240.0, -4928.0)
("Bosnia", 2880.0, -6208.0, 3136.0, -5952.0)
("Montenegro", 3904.0, -7104.0, 4160.0, -6848.0)
("Serbia", 4288.0, -5824.0, 4544.0, -5568.0)
("Macedonia", 4928.0, -7616.0, 5184.0, -7360.0)
("Albania", 4032.0, -8256.0, 4288.0, -8000.0)
("Greece", 5568.0, -9152.0, 5824.0, -8896.0)
("Bulgaria", 6848.0, -6592.0, 7104.0, -6336.0)
("Romania", 5952.0, -4416.0, 6208.0, -4160.0)
("Moldova", 7616.0, -3008.0, 7872.0, -2752.0)
("Ukraine", 8128.0, -1344.0, 8384.0, -1088.0)
("Turkey", 12736.0, -7360.0, 12992.0, -7104.0)
("Georgia", 15296.0, -4160.0, 15552.0, -3904.0)
("Syria", 16576.0, -10176.0, 16832.0, -9920.0)
("Lebanon", 14656.0, -10432.0, 14912.0, -10176.0)
("Palestine", 16064.0, -12608.0, 16320.0, -12352.0)
("Israel", 14528.0, -12864.0, 14784.0, -12608.0)
("Jordan", 16832.0, -13632.0, 17088.0, -13376.0)
("Egypt", 10944.0, -15040.0, 11200.0, -14784.0)
("Lybia", 6848.0, -15040.0, 7104.0, -14784.0)
("Tunisia", -1856.0, -14528.0, -1600.0, -14272.0)
("Algeria", -5440.0, -14400.0, -5184.0, -14144.0)
("Morocco", -10304.0, -14528.0, -10048.0, -14272.0)
("Portugal", -11328.0, -8256.0, -11072.0, -8000.0)
("Spain", -9024.0, -8512.0, -8768.0, -8256.0)
("France", -5184.0, -4416.0, -4928.0, -4160.0)
("Switzerland", -1984.0, -4416.0, - 1728.0, -4160.0)
("Italy", -1216.0, -5696.0, - 960.0, -5440.0)
("Belgium", -3776.0, -1984.0, -3520.0, -1728.0)
("Netherlands", -3136.0, -576.0, -2880.0, -320.0)
("Denmark", -1472.0, 1472.0, -1216.0, 1728.0)
("Norway", -1472.0, 6208.0, -1216.0, 6464.0)
("Sweden", 576.0, 7616.0, 832.0, 7872.0)
("Finland", 3520.0, 7616.0, 3776.0, 7872.0)
("England", -6976.0, 704.0, -6720.0, 960.0)
("Ireland", -11712.0, 1984.0, -11456.0, 2240.0)
("Iceland", -7488.0, 9536.0, -7232.0, 9792.0)
("Svalbard", -1216.0, 14656.0, -960.0, 14912.0)
("Estonia", 4416.0, 4800.0, 4672.0, 5056.0)
("Latvia", 4544.0, 3648.0, 4800.0, 3904.0)
("Lithuania", 4544.0, 2240.0, 4800.0, 2496.0)
("Kaliningrad", 3392.0, 1344.0, 3648.0, 1600.0)
("Belarus", 6208.0, 1088.0, 6464.0, 1344.0)
("Malta", 1088.0, -13120.0, 1344.0, -12864.0)
("North Russia", 9408.0, 8768.0, 9664.0, 9024.0)
("Slovakia", 3008.0, -2624.0, 3264.0, -2368.0)
("Hungary", 3392.0, -3904.0, 3648.0, -3648.0)
("Sicily", 832.0, -10944.0, 1088.0, -10688.0)
("Disko Bay", -11200.0, 14144.0, -10944.0, 14400.0)
("East Greenland", -6592.0, 14656.0, -6336.0, 14912.0)
("Sami", 3648.0, 13248.0, 3904.0, 13504.0)
("Scotland", -7616.0, 4928.0, -7360.0, 5184.0)
("Novaya", 10688.0, 15680.0, 10944.0, 15936.0)
("Crimea", 10816.0, -4032.0, 11072.0, -3776.0)
("Azerbaijan", 17856.0, -4416.0, 18112.0, -4160.0)
("Armenia", 17856.0, -6080.0, 18112.0, -5824.0)
("Southern Russia", 15808.0, -448.0, 16064.0, -192.0)
("Volga", 16960.0, 5056.0, 17216.0, 5312.0)
("Central Russia", 11456.0, 3264.0, 11712.0, 3520.0)
("Siberia", 17088.0, 15296.0, 17344.0, 15552.0)
("Moscow", 14400.0, 8640.0, 14656.0, 8896.0)
("National Park", -8768.0, 14272.0, -8512.0, 14528.0)
("West Greeland", -12992.0, 13760.0, -12736.0, 14016.0)
("Wales", -8512.0, 1344.0, -8256.0, 1600.0)
("Sardinia", -1984.0, -8384.0, -1728.0, -8128.0)
("Crete", 7488.0, -11840.0, 7744.0, -11584.0)
("Cyprus", 12480.0, -11072.0, 12736.0, -10816.0)
